,Name,Molecular_Weight,Bulkiness,Polarity_Grantham,Recognition_Factors,Hydrophobicity_Sweet,Hydrophobicity_Kyte_Doolittle,Hydrophobicity_Abraham_Leo,Hydrophobicity_Bull_Breese,Hydrophobicity_Guy,Hydrophobicity_Miyazawa_Jernigan,Hydrophobicity_Roseman,Hydrophobicity_Wolfenden,Hydrophobicity_Hplc_Wilson,Hydrophobicity_Hplc_Ph_3_4_Cowan,Hydrophobicity_Rf_Mobility,HPLC_Tfa_Retention,HPLC_Retention_Ph_2_1,Percentage_Buried_Res,Hydrophobicity_Chothia,Ratio_Hetero_End_Side,Average_Flexibility_BP,Beta_Sheet_Chou_Fasman,Alpha_Helix_Deleage_Roux,Beta_Turn_Deleage_Roux,Alpha_Helix_Levitt,Beta_Turn_Levitt,Antiparallel_Beta_Strand,Aa_Composition,Relative_Mutability,Number_Of_Codons,Polarity_Zimmerman,Refractivity,Hydrophobicity_Eisenberg,Hydrophobicity_Hopp_Woods,Hydrophobicity_Manavalan,Hydrophobicity_Black,Hydrophobicity_Fauchere,Hydrophobicity_Janin,Hydrophobicity_Rao_Argos,Hydrophobicity_Tanford,Hydrophobicity_Welling,Hydrophobicity_Hplc_Parker,Hydrophobicity_Hplc_Ph_7_5_Cowan,Hplc_Hfba_Retention,Transmembrane_Tendency,Hplc_Retention_Ph_7_4,Percentage_Accessible_Res,Hydrophobicity_Rose,Avg_Area_Buried,Alpha_Helix_Chou_Fasman,Beta_Turn_Chou_Fasman,Beta_Sheet_Deleage_Roux,Coil_Deleage_Roux,Beta_Sheet_Levitt,Total_Beta_Strand,Parallel_Beta_Strand,Aa_Composition_Swissprot,Disorder_Propensity_TOP_IDP,Aa_Flexibility_VTR,Disorder_Propensity_FoldUnfold,Disorder_Propensity_DisProt,Aggrescan_av4,Aggrescan_av4_pos,Aggrescan_Nr_hotspots,Zyggregator_profile_smoothed,Zyggregator_profile_smoothed_pos
0,0_Boughter,29209.0,3299.2200000000025,1901.800000000001,20145.0,-6.610000000000008,-122.80000000000005,58.849999999999945,-15.84000000000001,19.51999999999997,1188.3200000000008,-95.12000000000008,-975.3100000000002,366.70000000000016,19.509999999999998,1050.0000000000005,478.1000000000006,470.5000000000001,1296.4000000000003,58.66999999999993,148.1599999999999,102.4200000000001,230.22,209.30499999999975,227.9540000000003,212.8799999999998,238.96999999999974,234.3400000000003,1270.1000000000008,17636.0,798.0,2243.370000000003,3532.350000000003,-1.1699999999999942,-28.099999999999998,2836.5700000000015,117.90800000000013,82.82000000000001,-37.70000000000002,195.4300000000003,23.360000000000014,-85.43000000000009,458.8,-12.189999999999998,454.4000000000003,-102.9,471.20000000000005,1356.100000000001,160.92999999999986,27535.100000000013,208.44999999999987,240.7500000000002,227.47100000000032,234.83799999999988,226.40999999999983,228.00000000000014,210.72999999999996,1258.6899999999991,13.98,226.1569999999998,4682.73,-1.5030000000000001,-6.208800000000004,35.283,7,-86.51297569541502,29.344000297036658
1,1_Boughter,28580.0,3186.7800000000025,1911.0000000000018,20084.0,-21.95000000000003,-109.30000000000005,46.52999999999999,-1.1299999999999977,25.139999999999972,1175.810000000001,-104.76000000000008,-941.5399999999994,327.8000000000002,5.92,1024.6000000000006,461.1000000000002,332.90000000000015,1374.1000000000001,59.07999999999995,148.94999999999987,101.3000000000001,221.2900000000001,217.27699999999984,228.52000000000024,220.43999999999986,233.3499999999998,228.79000000000033,1306.5000000000011,17776.0,822.0,2470.7800000000047,3372.7300000000005,-1.4599999999999942,-8.700000000000003,2819.9900000000016,113.89900000000003,75.26000000000002,-34.5,197.30000000000027,24.26000000000003,-45.31000000000003,487.7000000000003,-21.569999999999943,404.0,-108.51000000000008,340.49999999999994,1385.7000000000007,159.86999999999978,26919.099999999988,216.51,236.21000000000012,221.6400000000001,228.66,221.4799999999999,223.04000000000008,207.9799999999999,1300.1999999999987,20.757999999999974,225.264,4625.110000000005,6.624,-14.806400000000002,33.26720000000001,8,-83.01741961741969,29.86716378859238
2,2_Boughter,29678.0,3341.9900000000002,1924.1000000000013,20453.0,-5.890000000000005,-119.00000000000009,55.89999999999997,-9.640000000000008,11.010000000000007,1210.6000000000001,-87.30000000000005,-988.5799999999995,375.8000000000002,12.16000000000001,1059.1000000000008,508.6000000000003,473.1000000000002,1329.3999999999999,59.989999999999945,148.50999999999976,102.40000000000008,237.26999999999998,214.17399999999978,229.18200000000036,217.35999999999976,236.93999999999969,241.38000000000042,1269.3000000000009,17820.0,794.0,2156.460000000003,3620.4000000000024,1.929999999999998,-47.099999999999966,2878.570000000002,119.72600000000011,85.97,-35.09999999999997,201.35000000000036,26.310000000000016,-73.4000000000001,446.3000000000001,-9.590000000000003,476.5000000000003,-93.84999999999995,492.3,1367.0000000000016,163.69999999999985,28112.599999999988,212.71000000000006,241.26000000000005,234.31200000000024,235.26999999999992,232.0399999999999,234.1,214.0399999999999,1253.9099999999992,10.41,228.63599999999988,4767.039999999997,-2.9109999999999996,-3.2248000000000037,40.434200000000025,7,-77.5012265820472,29.899867781371253
3,3_Boughter,29239.0,3252.900000000002,1937.1000000000024,20619.0,-13.689999999999996,-80.9,63.05999999999986,-9.089999999999996,17.969999999999985,1233.400000000001,-96.71000000000004,-936.3199999999996,393.4,27.439999999999966,1093.000000000001,576.5999999999996,388.9000000000003,1474.7,62.79999999999994,153.52999999999986,104.27000000000011,228.8100000000001,222.75199999999987,235.55300000000022,224.28999999999985,240.19999999999968,234.24000000000038,1369.8000000000013,18168.0,874.0,2279.6000000000045,3436.0300000000007,5.640000000000014,-22.499999999999996,2910.000000000002,119.13800000000002,84.90999999999998,-25.399999999999984,208.8400000000003,32.99000000000001,-73.2800000000001,440.8000000000001,-9.219999999999999,493.79999999999995,-85.51000000000002,410.29999999999995,1396.1000000000015,165.6299999999998,27819.299999999985,220.7300000000001,242.9300000000002,228.5040000000001,234.3499999999999,228.2999999999998,229.51000000000005,217.54999999999978,1364.269999999998,13.947999999999997,231.161,4780.760000000001,1.928999999999999,-7.167400000000006,35.79979999999998,8,-98.6971883342173,22.895535333860884
4,4_Boughter,29026.0,3222.780000000001,1936.4000000000017,20518.0,-18.380000000000024,-101.60000000000005,48.44999999999994,-4.05,21.979999999999976,1204.9800000000005,-104.07000000000002,-954.0199999999992,361.40000000000003,15.090000000000009,1057.3000000000004,450.7000000000001,348.0000000000003,1421.6999999999996,61.52999999999995,154.26999999999992,103.82000000000006,225.46,218.49899999999977,236.26900000000035,220.12999999999985,239.73999999999967,231.22000000000034,1341.0000000000018,18113.0,854.0,2378.4100000000044,3418.580000000001,1.0000000000000009,-12.400000000000002,2874.8300000000027,116.46000000000001,78.47000000000004,-30.699999999999992,203.9900000000003,23.48000000000001,-79.47000000000008,478.1000000000002,-16.399999999999984,404.89999999999986,-97.64999999999999,384.8999999999997,1395.6000000000015,163.3399999999998,27428.499999999985,216.99000000000004,241.71000000000015,227.04400000000015,232.96399999999994,227.47999999999973,226.57000000000005,214.85999999999981,1333.4199999999978,19.138999999999996,229.31100000000004,4711.870000000001,3.8779999999999992,-10.034,36.810399999999994,8,-93.0219790949276,25.27086627901894
5,5_Boughter,29449.0,3312.090000000002,1939.0000000000014,20584.0,-9.430000000000003,-62.9,73.4099999999999,-5.969999999999992,6.220000000000006,1257.6200000000006,-69.06,-861.9599999999997,407.29999999999984,35.03999999999999,1121.4000000000005,588.2999999999997,437.2000000000002,1466.7,65.22999999999995,140.70999999999998,103.57000000000006,232.0000000000001,228.51199999999974,234.7810000000004,228.15999999999983,237.91999999999973,235.5700000000003,1348.8000000000015,18198.0,831.0,2177.320000000003,3486.670000000001,16.320000000000007,-38.599999999999945,2953.9600000000023,123.7120000000001,91.30000000000007,-21.799999999999983,214.0100000000003,39.20999999999996,-90.24000000000005,402.1000000000002,5.159999999999998,494.7,-76.71999999999996,419.7999999999999,1357.9000000000015,167.84999999999982,28149.000000000004,226.6099999999999,238.65000000000006,230.80100000000039,234.22999999999996,231.32999999999979,232.66,226.02999999999983,1341.9099999999976,15.255,232.81999999999994,4832.4,3.1980000000000004,0.5125999999999924,46.113600000000005,9,-98.56268767862159,28.383429688443478
6,6_Boughter,28581.0,3171.290000000002,1910.6000000000022,20238.0,-17.04000000000002,-95.30000000000001,44.519999999999996,-5.519999999999998,22.559999999999974,1189.8800000000015,-111.68000000000005,-947.8099999999995,342.9000000000001,12.63000000000001,1045.9000000000008,458.90000000000003,320.3000000000003,1414.2999999999997,60.25999999999994,152.80999999999986,102.22000000000013,221.41000000000005,216.54399999999984,231.47800000000026,218.88999999999984,235.79999999999976,227.83000000000033,1335.4000000000012,17898.0,855.0,2465.1100000000047,3346.710000000001,-1.749999999999996,-3.2000000000000046,2834.1400000000026,114.41600000000001,74.98000000000002,-31.900000000000006,201.5400000000003,24.91000000000003,-61.24000000000007,485.50000000000017,-20.46999999999997,387.9,-99.83,363.59999999999997,1399.4000000000012,161.03999999999976,27019.899999999983,215.47000000000003,239.02000000000015,223.77000000000007,229.85399999999996,223.45999999999987,223.2800000000001,211.86999999999986,1328.249999999998,18.603999999999996,226.23599999999996,4649.340000000004,4.697,-10.531399999999998,33.616,9,-91.63588551859048,26.561651989563103
7,7_Boughter,29016.0,3250.340000000001,1943.300000000001,20272.0,-23.83000000000003,-127.60000000000005,36.23999999999999,7.919999999999998,20.409999999999975,1183.4600000000007,-108.20000000000007,-969.0899999999992,301.4000000000002,-4.0599999999999925,1010.4000000000007,386.0000000000003,348.4000000000002,1340.6,59.45999999999993,147.98999999999978,101.75000000000003,228.30000000000007,216.18199999999985,230.51800000000034,219.47999999999976,236.20999999999967,233.8500000000004,1281.1000000000004,17792.0,794.0,2530.7900000000027,3457.350000000002,-4.569999999999993,-14.7,2855.6600000000017,114.9770000000001,72.98000000000002,-37.500000000000036,198.95000000000041,20.400000000000006,-48.98000000000009,530.8000000000003,-22.909999999999926,348.2,-116.66999999999996,348.19999999999965,1379.8000000000009,162.17999999999984,27290.499999999985,215.5200000000001,239.57000000000005,227.35100000000014,233.874,227.53,227.32000000000005,209.73999999999995,1266.6499999999996,20.347999999999992,227.8249999999999,4682.969999999999,3.946999999999999,-19.24139999999998,32.4774,5,-95.54140760000217,21.519696823791865
8,8_Boughter,28995.0,3229.9000000000015,1918.5000000000023,20361.0,-9.510000000000009,-73.69999999999996,61.53999999999989,-12.330000000000004,14.099999999999998,1225.8100000000009,-96.87000000000005,-914.7399999999997,385.1,24.739999999999974,1091.6000000000006,563.2999999999996,372.20000000000016,1464.8000000000004,62.59999999999995,148.2999999999999,102.90000000000012,226.21000000000015,222.33099999999988,232.63200000000023,223.86999999999983,235.7999999999998,232.1200000000003,1362.5000000000014,17811.0,861.0,2457.940000000004,3421.290000000002,6.490000000000016,-15.199999999999992,2889.610000000003,118.52200000000002,82.98,-27.099999999999987,207.9100000000003,34.56000000000002,-62.40000000000006,431.20000000000016,-10.749999999999993,456.89999999999986,-87.08000000000001,379.7,1393.9000000000012,164.26999999999984,27639.59999999998,220.77000000000007,238.50000000000014,227.50300000000007,230.99599999999998,227.05999999999986,228.13000000000008,218.3499999999998,1359.2799999999982,14.610999999999995,228.99599999999995,4742.3200000000015,2.3750000000000018,-3.3520000000000083,40.360199999999985,11,-87.85399401964949,30.71909135290175
9,9_Boughter,28727.0,3199.6300000000015,1912.0000000000025,20200.0,-15.970000000000015,-105.30000000000004,50.65999999999995,-4.959999999999999,17.769999999999975,1188.7900000000013,-99.41000000000001,-945.9299999999994,359.4999999999999,8.990000000000013,1040.0000000000007,455.29999999999995,357.80000000000024,1392.9999999999998,60.22999999999995,150.52999999999997,101.90000000000008,223.54,213.92099999999976,232.8830000000003,216.73999999999987,236.45999999999972,228.59000000000032,1309.9000000000015,17623.0,835.0,2473.1200000000035,3399.18,0.3100000000000054,-15.099999999999998,2836.950000000002,115.12100000000004,77.64000000000003,-31.4,199.87000000000023,25.85000000000002,-56.45000000000011,468.30000000000024,-15.809999999999988,403.0,-101.39000000000003,376.4999999999998,1373.3000000000015,161.33999999999983,27184.599999999988,212.77000000000004,239.48000000000008,224.41400000000016,231.11299999999997,224.82999999999976,223.7600000000001,211.41999999999985,1301.7099999999973,19.747000000000003,226.09600000000003,4656.1500000000015,4.115,-10.392400000000002,35.8204,7,-90.18580805609948,26.396309433210018
