,Name,Molecular_Weight,Bulkiness,Polarity_Grantham,Recognition_Factors,Hydrophobicity_Sweet,Hydrophobicity_Kyte_Doolittle,Hydrophobicity_Abraham_Leo,Hydrophobicity_Bull_Breese,Hydrophobicity_Guy,Hydrophobicity_Miyazawa_Jernigan,Hydrophobicity_Roseman,Hydrophobicity_Wolfenden,Hydrophobicity_Hplc_Wilson,Hydrophobicity_Hplc_Ph_3_4_Cowan,Hydrophobicity_Rf_Mobility,HPLC_Tfa_Retention,HPLC_Retention_Ph_2_1,Percentage_Buried_Res,Hydrophobicity_Chothia,Ratio_Hetero_End_Side,Average_Flexibility_BP,Beta_Sheet_Chou_Fasman,Alpha_Helix_Deleage_Roux,Beta_Turn_Deleage_Roux,Alpha_Helix_Levitt,Beta_Turn_Levitt,Antiparallel_Beta_Strand,Aa_Composition,Relative_Mutability,Number_Of_Codons,Polarity_Zimmerman,Refractivity,Hydrophobicity_Eisenberg,Hydrophobicity_Hopp_Woods,Hydrophobicity_Manavalan,Hydrophobicity_Black,Hydrophobicity_Fauchere,Hydrophobicity_Janin,Hydrophobicity_Rao_Argos,Hydrophobicity_Tanford,Hydrophobicity_Welling,Hydrophobicity_Hplc_Parker,Hydrophobicity_Hplc_Ph_7_5_Cowan,Hplc_Hfba_Retention,Transmembrane_Tendency,Hplc_Retention_Ph_7_4,Percentage_Accessible_Res,Hydrophobicity_Rose,Avg_Area_Buried,Alpha_Helix_Chou_Fasman,Beta_Turn_Chou_Fasman,Beta_Sheet_Deleage_Roux,Coil_Deleage_Roux,Beta_Sheet_Levitt,Total_Beta_Strand,Parallel_Beta_Strand,Aa_Composition_Swissprot,Disorder_Propensity_TOP_IDP,Aa_Flexibility_VTR,Disorder_Propensity_FoldUnfold,Disorder_Propensity_DisProt,Aggrescan_av4,Aggrescan_av4_pos,Aggrescan_Nr_hotspots,Zyggregator_profile_smoothed,Zyggregator_profile_smoothed_pos
0,0_Boughter,13677.0,1570.3500000000001,920.3000000000005,9477.0,-10.480000000000006,-49.3,31.850000000000005,-4.0699999999999985,6.100000000000007,568.6599999999999,-54.21000000000001,-440.17000000000013,158.10000000000002,14.98000000000001,489.4000000000003,212.90000000000012,209.10000000000005,617.1999999999998,29.29999999999998,70.76,48.79,105.62999999999995,101.494,108.36000000000006,103.50999999999996,113.68999999999993,105.71000000000008,609.0999999999999,8593.0,369.0,1250.3300000000002,1608.119999999999,1.3400000000000016,4.7000000000000055,1349.9200000000008,54.536,37.719999999999985,-15.399999999999991,92.02999999999997,15.52,-50.55000000000004,231.89999999999995,-7.940000000000002,200.29999999999987,-58.19,165.39999999999995,632.3999999999997,76.52999999999997,12858.699999999997,102.22999999999996,112.73,105.874,111.217,105.85999999999996,104.71000000000001,102.41000000000007,608.22,10.552999999999999,107.67200000000003,2200.760000000001,2.064000000000001,-9.043400000000004,14.7034,3,-40.375833313534926,24.506255494048617
1,1_Boughter,13557.0,1515.5600000000006,906.3000000000005,9613.0,-8.15000000000001,-43.5,25.47,-5.149999999999999,14.529999999999996,564.9599999999998,-50.000000000000014,-440.12000000000023,166.89999999999998,9.260000000000003,499.2000000000004,253.40000000000015,167.80000000000004,672.1,28.58999999999998,72.75000000000003,49.15999999999999,104.07999999999996,103.34700000000008,110.78100000000009,104.47999999999992,113.62999999999988,107.0900000000001,645.7,8472.0,416.0,1152.3000000000002,1583.8399999999986,-0.8699999999999961,1.1000000000000003,1346.0700000000008,54.99700000000001,37.06999999999999,-15.899999999999993,94.99999999999997,10.599999999999998,-28.330000000000023,218.19999999999993,-7.149999999999999,223.69999999999985,-49.62000000000001,190.4999999999999,666.1999999999999,76.31999999999996,12787.900000000003,102.5799999999999,113.69000000000003,104.28699999999999,109.75799999999998,104.77000000000001,104.8,99.06000000000007,644.83,10.894000000000004,107.84700000000001,2205.540000000002,3.404,-5.563400000000005,15.271999999999995,5,-35.681285917549154,24.901275939168787
2,2_Boughter,13655.0,1553.9200000000003,909.6000000000006,9567.0,-8.700000000000006,-46.5,23.019999999999992,1.7400000000000058,4.5000000000000036,565.01,-46.92999999999999,-443.2900000000001,144.10000000000002,3.030000000000006,484.20000000000033,231.30000000000007,187.80000000000013,641.9,28.94999999999999,69.38000000000001,47.99,109.86999999999992,101.891,105.97100000000005,103.28999999999992,110.16999999999993,112.10000000000011,606.8000000000001,8409.0,379.0,1109.48,1617.2099999999987,1.7500000000000009,-12.400000000000002,1346.7500000000007,54.844,38.489999999999995,-14.89999999999999,96.42999999999996,14.0,-27.59,233.39999999999992,-6.74,210.49999999999991,-48.090000000000025,189.19999999999982,646.1999999999997,76.78999999999998,12916.000000000004,101.97999999999992,110.60000000000001,110.19100000000002,109.75899999999999,109.28999999999995,108.76,99.66000000000005,600.21,8.637000000000004,107.29800000000003,2214.780000000001,1.2689999999999997,-4.482000000000004,17.71440000000001,3,-49.690954783154886,18.6073840013305
3,3_Boughter,13552.0,1510.0400000000006,912.7000000000004,9693.0,-11.450000000000008,-44.299999999999976,23.470000000000002,-3.4099999999999993,13.139999999999995,566.4699999999998,-56.710000000000036,-456.9000000000002,165.70000000000002,8.550000000000004,492.00000000000034,228.60000000000014,156.40000000000003,678.1999999999999,28.83999999999998,77.31000000000002,49.309999999999995,104.18999999999997,102.38500000000006,111.23200000000008,104.18999999999991,113.67999999999988,106.8800000000001,643.2999999999998,8650.0,419.0,1156.65,1574.3099999999988,-1.3999999999999986,2.600000000000003,1344.930000000001,53.696000000000005,36.82,-13.999999999999991,94.73999999999997,11.600000000000001,-34.33000000000004,226.29999999999995,-9.660000000000004,212.49999999999986,-49.420000000000016,183.69999999999987,666.7999999999998,76.43999999999994,12788.800000000005,101.98999999999991,114.90000000000003,105.53399999999999,109.792,105.07,104.86999999999999,99.92000000000007,642.53,10.097,107.81800000000004,2203.4900000000016,3.0410000000000013,-7.6434000000000015,14.1394,4,-49.74275805199845,19.493404567880706
4,4_Boughter,13479.0,1521.4300000000005,905.7000000000003,9714.0,-10.88,-35.8,25.410000000000004,-1.149999999999999,9.979999999999997,568.9999999999998,-45.129999999999995,-435.0100000000002,166.10000000000002,9.180000000000009,492.90000000000043,205.00000000000009,169.50000000000003,682.1000000000001,29.709999999999983,75.10000000000001,49.129999999999995,105.98999999999995,101.92800000000003,110.28100000000008,102.89999999999995,112.58999999999993,108.2800000000001,634.1999999999997,8791.0,414.0,1015.4899999999996,1562.5099999999986,2.8199999999999985,-9.300000000000004,1350.4000000000008,54.663,39.83000000000002,-10.699999999999998,96.96999999999996,11.889999999999995,-43.60000000000003,212.2,-2.7699999999999987,215.09999999999988,-41.280000000000015,212.09999999999985,648.2999999999997,76.85999999999994,12767.000000000002,101.26999999999994,113.10000000000002,107.33999999999997,109.64400000000002,107.0,106.67,102.9200000000001,632.0899999999999,10.656000000000002,107.74700000000006,2206.5800000000013,2.4079999999999995,-3.2317999999999993,16.593600000000002,3,-48.55373951676154,13.821588938252768
5,5_Boughter,13960.0,1587.5400000000006,936.7000000000003,9850.0,-10.830000000000004,-33.399999999999984,34.54,1.4900000000000004,3.8399999999999994,598.1799999999998,-32.95,-396.64000000000004,177.50000000000009,15.37000000000001,519.9000000000003,285.3000000000002,219.0000000000001,687.0,31.319999999999986,69.0,49.85999999999998,109.36999999999996,108.68900000000004,114.06100000000008,109.81999999999994,115.46999999999994,109.62000000000009,639.7,8794.0,391.0,1013.8099999999998,1627.8199999999993,7.840000000000007,-14.600000000000005,1407.3500000000008,58.60599999999999,43.699999999999974,-10.399999999999999,100.75999999999999,17.970000000000006,-48.17000000000004,198.99999999999997,3.7199999999999953,258.4999999999998,-43.67000000000001,208.39999999999984,644.2999999999998,79.89999999999998,13270.899999999998,108.38999999999993,114.87999999999997,108.12399999999998,113.03000000000002,108.75999999999996,108.28000000000004,105.28000000000006,637.5800000000002,11.020000000000003,111.599,2289.550000000001,4.3900000000000015,-5.4964,19.788600000000002,3,-49.16336858630093,21.970358588779636
6,6_Boughter,13529.0,1506.4000000000005,913.5000000000005,9673.0,-10.280000000000008,-44.699999999999974,22.540000000000003,-3.6399999999999997,13.439999999999996,564.6999999999998,-57.37000000000003,-457.1300000000002,164.9,7.600000000000001,490.80000000000035,218.20000000000013,146.50000000000003,678.5999999999999,28.719999999999978,77.38000000000002,49.419999999999995,104.28999999999996,102.08200000000006,111.48100000000008,103.91999999999992,113.96999999999987,106.8100000000001,645.1999999999999,8673.0,420.0,1156.16,1563.3099999999988,-1.9499999999999986,3.7000000000000037,1344.420000000001,53.69800000000001,35.529999999999994,-14.699999999999992,94.56999999999996,11.05,-33.06000000000004,234.39999999999995,-10.620000000000001,198.49999999999986,-50.460000000000015,174.89999999999986,670.4999999999999,76.34999999999995,12741.900000000005,101.59999999999991,115.08000000000004,105.494,109.96,105.17999999999999,104.85999999999999,100.11000000000007,644.3699999999999,10.471,107.86100000000003,2200.940000000002,3.0790000000000006,-7.521400000000002,14.253400000000001,4,-44.33345705516829,20.7099496545364
7,7_Boughter,13660.0,1566.8100000000006,903.8000000000005,9570.0,-8.070000000000007,-44.300000000000004,23.679999999999993,0.9800000000000013,5.430000000000005,564.4500000000002,-43.71000000000001,-440.57000000000016,139.4,1.2800000000000056,487.8000000000003,234.6000000000001,185.30000000000007,646.5,28.69999999999999,67.42000000000002,47.769999999999996,110.58999999999992,102.59500000000001,104.05600000000005,103.99999999999993,108.77999999999994,114.25000000000011,610.6,8382.0,385.0,1110.6999999999998,1620.5999999999985,2.0600000000000005,-16.099999999999998,1349.190000000001,55.133,39.63999999999999,-14.99999999999999,97.17999999999998,13.969999999999999,-18.10999999999999,227.39999999999984,-5.360000000000006,214.79999999999993,-46.04000000000001,184.7999999999998,646.2999999999998,76.88999999999999,12954.500000000004,102.61999999999992,109.12000000000002,110.92300000000003,109.50899999999999,109.70999999999995,110.37000000000003,99.70000000000006,604.3500000000001,9.252000000000006,107.29000000000002,2220.120000000001,1.456999999999999,-2.998000000000003,18.837000000000003,3,-47.88456769591798,18.90831254504133
8,8_Boughter,13493.0,1517.8700000000006,911.0000000000003,9665.0,-10.490000000000007,-38.09999999999999,23.810000000000006,-4.259999999999999,12.189999999999998,567.7699999999998,-56.63000000000004,-449.06000000000023,165.2,9.300000000000004,494.50000000000034,254.2000000000001,146.90000000000003,690.2,28.889999999999976,76.44000000000003,49.09999999999999,103.89999999999996,103.74300000000007,110.71400000000008,105.55999999999992,112.69999999999986,106.4500000000001,655.8999999999997,8667.0,427.0,1154.68,1554.6199999999988,-1.3299999999999983,3.7000000000000037,1345.670000000001,53.876000000000005,36.480000000000004,-13.999999999999991,95.50999999999996,12.609999999999998,-25.780000000000037,222.29999999999998,-8.890000000000004,219.89999999999986,-48.710000000000015,172.9999999999999,672.0999999999998,76.42999999999994,12758.100000000006,103.09999999999991,113.75000000000004,105.00299999999999,109.158,104.49999999999999,104.42999999999998,99.48000000000008,655.9899999999998,10.709,107.84300000000003,2203.0000000000014,3.3260000000000005,-7.155000000000004,14.679799999999998,4,-42.4608855056468,21.332843233599945
9,9_Boughter,13533.0,1522.8500000000006,907.8000000000003,9668.0,-8.780000000000003,-44.50000000000001,27.61,-2.340000000000001,8.02,565.0299999999999,-41.999999999999986,-434.43000000000023,176.10000000000002,4.580000000000004,491.1000000000005,192.50000000000017,169.9,675.0999999999998,29.159999999999986,74.34,49.03,106.28999999999996,99.488,112.06900000000007,101.49999999999994,114.07999999999993,108.0700000000001,624.2,8492.0,407.0,1111.9799999999998,1577.3599999999992,2.370000000000001,-10.000000000000004,1349.830000000001,54.842,38.97,-12.29999999999999,95.17999999999999,13.690000000000001,-30.730000000000008,219.79999999999993,-3.87,190.79999999999976,-46.91000000000002,188.39999999999984,648.4999999999999,76.81999999999995,12799.8,99.23999999999994,114.97000000000003,107.23899999999998,110.96700000000004,107.18999999999998,106.32000000000001,102.14000000000007,621.5300000000001,12.344000000000003,107.69500000000002,2205.1000000000017,3.075000000000002,-3.7142000000000026,16.8062,3,-45.40198544179921,18.42897823945553
